Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3000171,Non-integrin membrane-ECM interactions,33,61,0.004002625,0.000027673,0.061324218,20,22,0.00155466,9606,Homo sapiens,ITGB1;LAMA2;LAMA1;LAMC3;SDC2;COL11A1;ITGB3;LAMA3;SDC3;NTN4;PDGFB;LAMC2;FGF2;THBS1;CYTH2;DMD;ITGAV;PRKACA;LAMB3;ACTN1;FN1;CASK;PRKCA;LAMB1;HSPG2;COL1A2;COL4A2;COL5A1;COL4A1;COL4A4;COL5A2;COL4A3;ITGA6;AGRN,,R-HSA-2731081;R-HSA-2328129;R-HSA-2750187;R-HSA-2681675;R-HSA-2731149;R-HSA-2465890;R-HSA-2750177;R-HSA-2731075;R-HSA-2731074;R-HSA-2731141;R-HSA-2750181;R-HSA-2731078;R-HSA-2684507;R-HSA-2396337;R-HSA-2396113;R-HSA-2426355;R-HSA-2681694;R-HSA-2327738;R-HSA-2731123;R-HSA-2731122
R-HSA-216083,Integrin cell surface interactions,40,86,0.005643045,0.000111321,0.096907613,54,55,0.003886651,9606,Homo sapiens,ITGB1;COL13A1;ITGB3;ITGB2;ICAM2;ICAM3;F11R;THBS1;CYTH2;CDH1;BSG;KDR;SPP1;ITGAX;ITGB8;ITGAV;ITGB6;TSTD1;ITGA1;FN1;HSPG2;ERN1;COL1A2;COL4A2;COL5A1;COL4A1;COL7A1;COL4A4;COL5A2;COL4A3;COL6A1;COL8A2;PECAM1;COL8A1;ITGA6;COL9A2;ITGA5;CD47;AGRN;FBN1;ITGA9,,R-HSA-114560;R-HSA-114563;R-HSA-2473511;R-HSA-210304;R-HSA-216064;R-HSA-216069;R-HSA-216068;R-HSA-199050;R-HSA-216072;R-HSA-4084912;R-HSA-216076;R-HSA-4084910;R-HSA-204434;R-HSA-216082;R-HSA-4084903;R-HSA-349593;R-HSA-198941;R-HSA-4088220;R-HSA-4088218;R-HSA-349603;R-HSA-2327695;R-HSA-4085133;R-HSA-2426259;R-HSA-2470555;R-HSA-2484965;R-HSA-4539779;R-HSA-2467436;R-HSA-265422;R-HSA-265423;R-HSA-265428;R-HSA-265429;R-HSA-202706;R-HSA-202704;R-HSA-2752125;R-HSA-265424;R-HSA-265425;R-HSA-265426;R-HSA-265427;R-HSA-2752115;R-HSA-202718;R-HSA-2752118;R-HSA-4085087;R-HSA-202727;R-HSA-4085083;R-HSA-4088281;R-HSA-216043;R-HSA-216040;R-HSA-216045;R-HSA-9679740;R-HSA-4086223;R-HSA-216050;R-HSA-4088264;R-HSA-4086216;R-HSA-216061
R-HSA-1566948,Elastic fibre formation,25,45,0.002952756,0.000163532,0.096907613,15,17,0.001201329,9606,Homo sapiens,ITGB1;FBN2;FBN3;ITGB3;LOXL3;LTBP2;FBLN1;LTBP1;FBLN5;LOXL1;LOXL2;CYTH2;EFEMP1;EMILIN2;ITGB8;ITGAV;ITGB6;TGFB2;TGFB3;FN1;BMP4;MFAP5;BMP2;COL4A1;MFAP2;ITGA5;FBN1,,R-HSA-2328033;R-HSA-2161282;R-HSA-2395328;R-HSA-2328037;R-HSA-2537665;R-HSA-2129353;R-HSA-2129385;R-HSA-2396399;R-HSA-2129357;R-HSA-2129362;R-HSA-2328048;R-HSA-2396029;R-HSA-1592387;R-HSA-2395320;R-HSA-2129375
R-HSA-1474244,Extracellular matrix organization,113,328,0.02152231,0.000178736,0.096907613,259,319,0.022542576,9606,Homo sapiens,SPARC;COL12A1;SERPINE1;ICAM2;LOXL3;ICAM3;PLOD3;PLOD2;F11R;FGF2;LOXL1;LOXL2;EFEMP1;CAPN9;CDH1;BSG;CAPN5;KDR;CAPN2;CAPN1;PRKACA;PRSS2;TSTD1;ACTN1;P3H2;CASK;PRKCA;P3H3;HSPG2;ERN1;ADAM19;COL4A2;COL4A1;COL4A4;COL4A3;COL8A2;COL8A1;ADAM8;FBN2;FBN3;COL13A1;SDC2;SDC3;PDGFB;FBLN1;LTBP2;LTBP1;NID2;FBLN5;SCUBE3;ADAMTS14;SERPINH1;TGFB2;TGFB3;FN1;BMP4;BMP2;COL1A2;BMP1;COL5A1;COL5A2;COL9A2;FBN1;ITGB1;COLGALT2;LAMC3;ITGB3;ITGB2;LAMC2;CTSV;CTSS;ADAMTS3;CASP3;TIMP2;ITGAX;EMILIN2;ITGB8;ITGAV;ITGB6;ITGA1;CEACAM1;VCAN;MMP15;COL6A1;PXDN;PECAM1;ITGA6;ITGA5;CD47;ITGA9;PCOLCE2;LAMA2;LAMA1;COL11A1;LAMA3;NTN4;THBS1;ACAN;CYTH2;SPP1;NCAM1;DMD;COL26A1;LAMB3;LAMB1;CAPN13;MFAP5;CAPN12;COL7A1;MFAP2;TLL2;TLL1;AGRN,,R-HSA-8944265;R-HSA-2002460;R-HSA-8944266;R-HSA-2473511;R-HSA-216064;R-HSA-1564179;R-HSA-1592349;R-HSA-216069;R-HSA-216068;R-HSA-2545196;R-HSA-216072;R-HSA-8944261;R-HSA-8944262;R-HSA-1564184;R-HSA-216076;R-HSA-216082;R-HSA-1564164;R-HSA-2002440;R-HSA-2533950;R-HSA-2533944;R-HSA-1564169;R-HSA-2250301;R-HSA-2482180;R-HSA-1592362;R-HSA-8941234;R-HSA-2002466;R-HSA-2537499;R-HSA-2426471;R-HSA-2465890;R-HSA-2467436;R-HSA-4224014;R-HSA-2752125;R-HSA-2473584;R-HSA-2473596;R-HSA-2731123;R-HSA-2752115;R-HSA-1592387;R-HSA-2731122;R-HSA-2395257;R-HSA-2473594;R-HSA-2752118;R-HSA-2731081;R-HSA-1650808;R-HSA-2328129;R-HSA-1614460;R-HSA-1614461;R-HSA-2731075;R-HSA-1604722;R-HSA-2731074;R-HSA-2533965;R-HSA-2396234;R-HSA-2731078;R-HSA-2328145;R-HSA-2684507;R-HSA-2395223;R-HSA-2426450;R-HSA-2168923;R-HSA-2465883;R-HSA-8948232;R-HSA-8948234;R-HSA-2395302;R-HSA-1474197;R-HSA-2426530;R-HSA-8948224;R-HSA-1604752;R-HSA-8948226;R-HSA-8948228;R-HSA-8948230;R-HSA-4084912;R-HSA-8948231;R-HSA-4084910;R-HSA-204434;R-HSA-2396337;R-HSA-2327733;R-HSA-2395314;R-HSA-2395324;R-HSA-4084903;R-HSA-2327738;R-HSA-2395320;R-HSA-2395322;R-HSA-2161282;R-HSA-2731149;R-HSA-2022073;R-HSA-2167942;R-HSA-2327695;R-HSA-2731141;R-HSA-1981104;R-HSA-2559639;R-HSA-1454757;R-HSA-2484882;R-HSA-2470555;R-HSA-2484965;R-HSA-2750187;R-HSA-2299620;R-HSA-2750177;R-HSA-265422;R-HSA-265423;R-HSA-2396399;R-HSA-3827958;R-HSA-1474266;R-HSA-2750181;R-HSA-2168046;R-HSA-2396395;R-HSA-265428;R-HSA-265429;R-HSA-8944218;R-HSA-265424;R-HSA-8944220;R-HSA-265425;R-HSA-1981128;R-HSA-265426;R-HSA-265427;R-HSA-8944223;R-HSA-2327803;R-HSA-1605825;R-HSA-1981120;R-HSA-8944214;R-HSA-8944232;R-HSA-2471621;R-HSA-2327746;R-HSA-2022141;R-HSA-2395328;R-HSA-3787997;R-HSA-1604350;R-HSA-3907292;R-HSA-2537665;R-HSA-2395340;R-HSA-8944227;R-HSA-1454843;R-HSA-8944229;R-HSA-1454822;R-HSA-8944250;R-HSA-2396370;R-HSA-8944254;R-HSA-8944255;R-HSA-1981157;R-HSA-8944247;R-HSA-1604368;R-HSA-3791155;R-HSA-1604360;R-HSA-2426676;R-HSA-1566981;R-HSA-1566979;R-HSA-2467633;R-HSA-1458433;R-HSA-2534206;R-HSA-198941;R-HSA-2466106;R-HSA-3788061;R-HSA-4084507;R-HSA-4084505;R-HSA-4084501;R-HSA-2534160;R-HSA-2318623;R-HSA-2534240;R-HSA-2327909;R-HSA-4086132;R-HSA-2534260;R-HSA-1980233;R-HSA-2396029;R-HSA-375135;R-HSA-4085087;R-HSA-2681675;R-HSA-4085083;R-HSA-2213192;R-HSA-2213195;R-HSA-2681667;R-HSA-2327886;R-HSA-2467659;R-HSA-2213201;R-HSA-2213200;R-HSA-2514772;R-HSA-8948219;R-HSA-2213205;R-HSA-2152276;R-HSA-2243926;R-HSA-2467665;R-HSA-8948222;R-HSA-2213207;R-HSA-2681694;R-HSA-2681681;R-HSA-2243931;R-HSA-2213208;R-HSA-2213210;R-HSA-114560;R-HSA-114563;R-HSA-4086204;R-HSA-210304;R-HSA-4086205;R-HSA-4086200;R-HSA-3791295;R-HSA-2471842;R-HSA-199050;R-HSA-2396079;R-HSA-2424246;R-HSA-8848658;R-HSA-2214324;R-HSA-8855825;R-HSA-2396083;R-HSA-2424243;R-HSA-2424252;R-HSA-2214330;R-HSA-349593;R-HSA-3814820;R-HSA-2514823;R-HSA-2467716;R-HSA-4088220;R-HSA-4088218;R-HSA-349603;R-HSA-2514831;R-HSA-4085133;R-HSA-2426259;R-HSA-2485148;R-HSA-1602466;R-HSA-349626;R-HSA-2328033;R-HSA-4539779;R-HSA-2328037;R-HSA-1564112;R-HSA-2129385;R-HSA-1564120;R-HSA-202706;R-HSA-2328048;R-HSA-202704;R-HSA-2533874;R-HSA-2172405;R-HSA-2426355;R-HSA-202718;R-HSA-8943959;R-HSA-202723;R-HSA-2002428;R-HSA-1592314;R-HSA-202727;R-HSA-1592316;R-HSA-4088281;R-HSA-216043;R-HSA-2129353;R-HSA-216040;R-HSA-2089971;R-HSA-3785684;R-HSA-2129357;R-HSA-216045;R-HSA-1592310;R-HSA-9679740;R-HSA-216051;R-HSA-4086223;R-HSA-216050;R-HSA-2129362;R-HSA-216048;R-HSA-2396113;R-HSA-4088264;R-HSA-4086216;R-HSA-2396124;R-HSA-1564143;R-HSA-1564142;R-HSA-216058;R-HSA-8943987;R-HSA-216061;R-HSA-2129375
R-HSA-446728,Cell junction organization,42,95,0.006233596,0.000218753,0.096907613,32,37,0.002614656,9606,Homo sapiens,ITGB1;FBLIM1;CTNND1;LAMA3;ILK;LAMC2;F11R;CLDN1;ACTB;CDH6;CLDN22;CDH3;CDH1;CLDN23;FLNA;CDH24;RSU1;PRKCI;TSTD1;CADM1;LAMB3;JUP;ACTN1;PARVA;KRT5;CLDN10;SDK1;CLDN4;CLDN9;CLDN7;ZYX;CDH13;CTNNB1;ITGA6;CLDN16;NECTIN4;LIMS2;CDH18;FERMT2;CRB3;PALS1;NECTIN1,,R-HSA-430341;R-HSA-5692437;R-HSA-446083;R-HSA-419011;R-HSA-432897;R-HSA-432909;R-HSA-419981;R-HSA-430347;R-HSA-446089;R-HSA-446364;R-HSA-420582;R-HSA-430311;R-HSA-430308;R-HSA-420580;R-HSA-446372;R-HSA-433711;R-HSA-420586;R-HSA-420598;R-HSA-446391;R-HSA-420661;R-HSA-373745;R-HSA-446322;R-HSA-420019;R-HSA-420595;R-HSA-420592;R-HSA-432956;R-HSA-446077;R-HSA-433725;R-HSA-419002;R-HSA-419003;R-HSA-432952;R-HSA-419001
R-HSA-2214320,Anchoring fibril formation,12,15,9.84E-04,0.000390001,0.125413001,4,4,2.83E-04,9606,Homo sapiens,BMP1;COL1A2;LAMB3;COL4A2;COL4A1;COL7A1;COL4A4;COL4A3;LAMA3;TLL2;LAMC2;TLL1,,R-HSA-2214324;R-HSA-2213195;R-HSA-2214330;R-HSA-2396234
R-HSA-2129379,Molecules associated with elastic fibres,21,37,0.002427822,0.000396877,0.125413001,9,10,7.07E-04,9606,Homo sapiens,ITGB1;FBN2;FBN3;TGFB2;TGFB3;ITGB3;FN1;FBLN1;LTBP2;LTBP1;FBLN5;BMP4;MFAP5;CYTH2;BMP2;EFEMP1;COL4A1;MFAP2;EMILIN2;ITGB8;ITGAV;ITGB6;FBN1,,R-HSA-2328033;R-HSA-2161282;R-HSA-2328048;R-HSA-2395328;R-HSA-2537665;R-HSA-2396029;R-HSA-1592387;R-HSA-2396399;R-HSA-2395320
R-HSA-3000157,Laminin interactions,18,31,0.002034121,0.000769198,0.212476797,15,15,0.001059996,9606,Homo sapiens,ITGB1;LAMB3;LAMA2;LAMA1;LAMC3;LAMA3;ITGA1;LAMB1;LAMC2;NID2;HSPG2;COL4A2;COL4A1;COL7A1;COL4A4;COL4A3;ITGAV;ITGA6,,R-HSA-3787997;R-HSA-4084507;R-HSA-2426530;R-HSA-4084505;R-HSA-3907292;R-HSA-4084501;R-HSA-216051;R-HSA-2426676;R-HSA-2328145;R-HSA-216048;R-HSA-2426450;R-HSA-2396083;R-HSA-2327803;R-HSA-216058;R-HSA-349626
R-HSA-1500931,Cell-Cell communication,52,134,0.008792651,0.000863727,0.212476797,50,60,0.004239983,9606,Homo sapiens,ITGB1;CTNND1;ILK;LAMC2;F11R;CLDN1;ACTB;CDH6;CLDN22;CDH3;CDH1;CLDN23;NCK2;SIRPA;PRKCI;TSTD1;ACTN2;ACTN1;CASK;KRT5;ACTN4;CD2AP;CLDN10;CLDN4;CLDN9;CLDN7;CDH13;ITGA6;CLDN16;CD47;CDH18;FBLIM1;LAMA3;FLNA;PTK2B;CDH24;FYN;RSU1;CADM1;LAMB3;JUP;PARVA;SDK1;ZYX;CTNNB1;NECTIN4;FERMT2;LIMS2;CRB3;PALS1;NECTIN1,,R-HSA-430341;R-HSA-446083;R-HSA-391168;R-HSA-432897;R-HSA-432909;R-HSA-419981;R-HSA-430347;R-HSA-446089;R-HSA-8981534;R-HSA-446364;R-HSA-446372;R-HSA-451758;R-HSA-433711;R-HSA-446391;R-HSA-420661;R-HSA-420019;R-HSA-432956;R-HSA-433725;R-HSA-419002;R-HSA-419003;R-HSA-432952;R-HSA-419001;R-HSA-5692437;R-HSA-419011;R-HSA-451403;R-HSA-373724;R-HSA-373727;R-HSA-373722;R-HSA-420582;R-HSA-430311;R-HSA-430308;R-HSA-420580;R-HSA-373734;R-HSA-391151;R-HSA-391150;R-HSA-420586;R-HSA-420598;R-HSA-391157;R-HSA-391156;R-HSA-532603;R-HSA-391158;R-HSA-373745;R-HSA-391153;R-HSA-446322;R-HSA-391152;R-HSA-420595;R-HSA-373747;R-HSA-420592;R-HSA-391155;R-HSA-446077
R-HSA-1474290,Collagen formation,41,104,0.006824147,0.002154408,0.476124262,64,77,0.005441312,9606,Homo sapiens,COLGALT2;PCOLCE2;COL13A1;COL11A1;LAMA3;COL12A1;LOXL3;PLOD3;LAMC2;PLOD2;CTSV;CTSS;LOXL1;LOXL2;ADAMTS14;ADAMTS3;SERPINH1;COL26A1;LAMB3;P3H2;P3H3;COL1A2;BMP1;COL4A2;COL5A1;COL4A1;COL7A1;COL4A4;COL5A2;COL4A3;COL6A1;PXDN;COL8A2;COL8A1;TLL2;ITGA6;TLL1;COL9A2,,R-HSA-8948232;R-HSA-8944265;R-HSA-2002460;R-HSA-8948234;R-HSA-8944266;R-HSA-2395302;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8944261;R-HSA-8948230;R-HSA-8944262;R-HSA-8948231;R-HSA-2214324;R-HSA-2002440;R-HSA-2395314;R-HSA-2395324;R-HSA-2214330;R-HSA-2395322;R-HSA-2250301;R-HSA-2022073;R-HSA-1981104;R-HSA-2559639;R-HSA-2002466;R-HSA-2299620;R-HSA-1474266;R-HSA-8944218;R-HSA-8944220;R-HSA-1981128;R-HSA-1980233;R-HSA-8944223;R-HSA-2395257;R-HSA-1981120;R-HSA-8944214;R-HSA-8944232;R-HSA-1650808;R-HSA-2002428;R-HSA-2022141;R-HSA-1614460;R-HSA-1614461;R-HSA-2395340;R-HSA-2213192;R-HSA-2213195;R-HSA-8944227;R-HSA-2089971;R-HSA-8944229;R-HSA-2396234;R-HSA-2213201;R-HSA-2213200;R-HSA-8944250;R-HSA-8948219;R-HSA-2395223;R-HSA-2213205;R-HSA-2152276;R-HSA-2243926;R-HSA-8948222;R-HSA-2213207;R-HSA-8944254;R-HSA-8944255;R-HSA-2243931;R-HSA-2213208;R-HSA-2213210;R-HSA-1981157;R-HSA-8944247
